account_balance,title,amount,id,account_id
3699,Account dividends,-1156,1270199293880,6789
4012,Account dividends,-1012,885809772118,3583260648988
2752,Monthly payment,-569,3344825134080,2731148861471
5056,Transfer between accounts,72,2380686811897,1589169027918
910,Account dividends,219,3983563297841,518228347289
5494,Transfer between accounts,726,2185116638155,1769998497466
3004,Transfer between accounts,804,660457063795,2323960750559
4050,Monthly payment,64,2996897266585,879087758310
2973,Account dividends,-898,375401681353,1180897919266
2558,Account dividends,-642,2720184775677,1842457619785
2382,Transfer between accounts,272,2061511683276,6789
1968,Monthly payment,-673,2857310388459,3583260648988
867,Transfer between accounts,-648,3612183686206,2731148861471
4835,Transfer between accounts,184,3516304464757,1589169027918
1139,Monthly payment,1164,2575828682763,518228347289
2852,Account dividends,90,3692775811898,1769998497466
2011,Monthly payment,510,567928509523,2323960750559
4666,Account dividends,-243,543285255999,879087758310
3006,Monthly payment,-203,2496366169475,1180897919266
4741,Transfer between accounts,-116,3707765292753,1842457619785
899,Transfer between accounts,-423,2265560639933,6789
3475,Account dividends,713,2564439417966,3583260648988
1928,Account dividends,595,2487008526776,2731148861471
4773,Monthly payment,-662,92366863562,1589169027918
3251,Account dividends,-890,2491245538041,518228347289
4997,Monthly payment,-760,3541790486846,1769998497466
597,Monthly payment,-1035,1231377730760,2323960750559
1826,Account dividends,126,1701607892026,879087758310
4278,Account dividends,472,3080098685798,1180897919266
1043,Transfer between accounts,73,3768463628308,1842457619785
3381,Monthly payment,-318,612007712986,6789
1650,Account dividends,781,3441006597462,3583260648988
2162,Monthly payment,-191,585063506437,2731148861471
1174,Account dividends,-622,3697856518408,1589169027918
5103,Account dividends,-501,639854035531,518228347289
1691,Transfer between accounts,-922,3321549287687,1769998497466
3147,Account dividends,521,2497855354209,2323960750559
3293,Monthly payment,-190,3504793250528,879087758310
5153,Account dividends,-998,436630024623,1180897919266
2363,Account dividends,-346,816226723951,1842457619785
2828,Monthly payment,812,4209563436220,6789
1422,Monthly payment,-327,156861025151,3583260648988
4396,Monthly payment,366,3958013029576,2731148861471
4322,Account dividends,11,1066394764577,1589169027918
5043,Monthly payment,-586,997701953964,518228347289
2780,Monthly payment,842,1137523585864,1769998497466
992,Transfer between accounts,475,4017020187142,2323960750559
1289,Monthly payment,-1189,2055394886996,879087758310
1518,Transfer between accounts,545,2859817139539,1180897919266
1116,Monthly payment,445,1890245150868,1842457619785
2870,Account dividends,882,2628962568797,6789
4234,Account dividends,800,1142515178991,3583260648988
2086,Account dividends,279,3621666647903,2731148861471
3437,Account dividends,-649,2908034453291,1589169027918
5259,Monthly payment,-24,1202449588731,518228347289
5391,Monthly payment,397,1899132884203,1769998497466
1538,Transfer between accounts,-228,3798436067344,2323960750559
5419,Transfer between accounts,-974,2058845754589,879087758310
429,Account dividends,-172,3067608064483,1180897919266
1219,Transfer between accounts,356,1742194961145,1842457619785
5235,Transfer between accounts,-879,3745042071030,6789
3631,Account dividends,-453,3939633906302,3583260648988
2828,Monthly payment,407,2162825737445,2731148861471
4515,Account dividends,1080,1571860718282,1589169027918
3322,Account dividends,497,2388468005515,518228347289
2553,Account dividends,57,1491665587224,1769998497466
4615,Account dividends,-753,2731985519079,2323960750559
4424,Account dividends,-962,910597128781,879087758310
5186,Transfer between accounts,-105,28719651810,1180897919266
2773,Monthly payment,14,2207511886458,1842457619785
4969,Account dividends,684,2158675294977,6789
4272,Transfer between accounts,-1130,248873772433,3583260648988
4520,Transfer between accounts,443,108662024,2731148861471
517,Account dividends,870,2735475778030,1589169027918
706,Account dividends,-926,2938713437847,518228347289
3959,Account dividends,543,1184568417824,1769998497466
1191,Monthly payment,178,2253221069979,2323960750559
1916,Transfer between accounts,-75,1231692323058,879087758310
951,Monthly payment,288,148321649507,1180897919266
2737,Transfer between accounts,1005,1465509659424,1842457619785
1591,Monthly payment,-1059,380839843455,6789
5131,Monthly payment,904,33513667531,3583260648988
4559,Transfer between accounts,75,1059823428304,2731148861471
2462,Account dividends,-47,2939861429247,1589169027918
3289,Transfer between accounts,1018,3735401859493,518228347289
4292,Monthly payment,531,1007190580880,1769998497466
3554,Account dividends,-623,746728938340,2323960750559
1034,Transfer between accounts,211,2846017510387,879087758310
3680,Transfer between accounts,-1166,2528620071560,1180897919266
511,Transfer between accounts,635,3166448224727,1842457619785
5324,Account dividends,292,1009182055135,6789
3856,Monthly payment,328,1620247094961,3583260648988
4930,Monthly payment,-111,2770052552557,2731148861471
2513,Monthly payment,-313,3386803338167,1589169027918
4586,Account dividends,-789,2422101115281,518228347289
2383,Monthly payment,-730,726414864657,1769998497466
5016,Account dividends,756,3639605309220,2323960750559
1210,Account dividends,-745,2930552339388,879087758310
1585,Monthly payment,-799,1030759992322,1180897919266
4345,Account dividends,-465,3124101126777,1842457619785
